id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
88217,171233,1,3,9999,,oz,85
88218,171233,2,1,9999,,steak,306
88219,171234,1,4,9999,,oz,113
88220,171234,2,1,9999,,steak,462
88221,171234,3,1,9999,,roast,2627
88222,171235,1,4,9999,,oz,113
88223,171235,2,1,9999,,steak,456
88224,171235,3,1,9999,,roast,2674
88225,171236,1,3,9999,,oz,85
88226,171236,2,1,9999,,steak,381
88227,171237,1,3,9999,,oz,85
88228,171237,2,1,9999,,steak,378
88229,171238,1,3,9999,,oz,85
88230,171238,2,1,9999,,steak,385
88231,171239,1,3,9999,,oz,85
88232,171239,2,1,9999,,roast,1601
88233,171240,1,1,9999,,oz,28.35
88234,171240,2,1,9999,,package (8 oz),227
88235,171241,1,1,9999,,oz,28.35
88236,171241,2,1,9999,,package (7 oz),198
88237,171242,1,1,9999,,oz,28.35
88238,171242,2,1,9999,,slice (1 oz),28
88239,171242,3,1,9999,,cubic inch,15
88240,171242,4,1,9999,,"cup, diced",132
88241,171242,5,1,9999,,"cup, shredded",108
88242,171242,6,1,9999,,package (6 oz),170
88243,171243,1,1,9999,,cup,134
88244,171243,2,1,9999,,oz,28.35
88245,171243,3,1,9999,,cubic inch,18
88246,171243,4,1,9999,,box,113
88247,171243,5,1,9999,,package (8 oz),227
88248,171244,1,1,9999,,"cup, diced",132
88249,171244,2,1,9999,,"cup, shredded",113
88250,171244,3,1,9999,,oz,28.35
88251,171244,4,1,9999,,cubic inch,18
88252,171244,5,1,9999,,slice (1 oz),28
88253,171245,1,1,9999,,"cup, diced",132
88254,171245,2,1,9999,,"cup, shredded",113
88255,171245,3,1,9999,,oz,28.35
88256,171245,4,1,9999,,cubic inch,18
88257,171245,5,1,9999,,slice (1 oz),28
88258,171245,6,1,9999,,package (6 oz),170
88259,171246,1,1,9999,,oz,28.35
88260,171246,2,1,9999,,package (3 oz),85
88261,171247,1,1,9999,,cup,100
88262,171247,2,1,9999,,tbsp,5
88263,171247,3,1,9999,,oz,28.35
88264,171248,1,0.5,9999,,cup,124
88265,171248,2,1,9999,,oz,28.35
88266,171248,3,1,9999,,cup,246
88267,171249,1,1,9999,,oz,28.35
88268,171249,2,5,9999,,package (5 oz),142
88269,171250,1,1,9999,,oz,28.35
88270,171250,2,1,9999,,package (3 oz),85
88271,171251,1,1,9999,,"cup, diced",132
88272,171251,2,1,9999,,"cup, melted",244
88273,171251,3,1,9999,,"cup, shredded",108
88274,171251,4,1,9999,,oz,28.35
88275,171251,5,1,9999,,cubic inch,15
88276,171251,6,1,9999,,slice (1 oz),28
88277,171252,1,1,9999,,cup,113
88278,171252,2,1,9999,,oz,28.35
88279,171252,3,1,9999,,slice (3/4 oz),21
88280,171252,4,1,9999,,package (8 oz),227
88281,171253,1,1,9999,,oz,28.35
88282,171253,2,1,9999,,package (8 oz),227
88283,171254,1,1,9999,,"cup, diced",140
88284,171254,2,1,9999,,cup,244
88285,171254,3,1,9999,,jar (5 oz),128
88286,171254,4,1,9999,,cubic inch,18
88287,171254,5,1,9999,,jar (5 oz),142
88288,171254,6,1,9999,,slice,34
88289,171254,7,1,9999,,"slice, thin",14
88290,171255,1,1,9999,,fl oz,30.2
88291,171255,2,1,9999,,tbsp,15
88292,171255,3,1,9999,,cup,242
88293,171255,4,1,9999,,"container, individual (.5 fl oz)",15
88294,171256,1,1,9999,,tbsp,15
88295,171256,2,1,9999,,cup,242
88296,171257,1,1,9999,,tbsp,12
88297,171257,2,1,9999,,cup,230
88298,171258,1,1,9999,,cup,254
88299,171258,2,1,9999,,fl oz,31.8
88300,171258,3,1,9999,,quart,1016
88301,171259,1,1,9999,,tbsp,12
88302,171259,2,1,9999,,cup,235
88303,171261,1,1,9999,,"container, individual",15
88304,171261,2,1,9999,,fl oz,30
88305,171261,3,1,9999,,cup,240
88306,171261,4,0.5,9999,,cup,120
88307,171262,1,1,9999,,"container, individual",15
88308,171262,2,0.5,9999,,cup,120
88309,171263,1,1,9999,,cup,94
88310,171263,2,1,9999,,tsp,2
88311,171263,3,1,9999,,packet,3
88312,171264,1,1,9999,,cup,244
88313,171264,2,1,9999,,quart,976
88314,171265,1,1,9999,,cup,244
88315,171265,2,1,9999,,fl oz,30.5
88316,171265,3,1,9999,,tbsp,15
88317,171265,4,1,9999,,quart,976
88318,171266,1,1,9999,,cup,244
88319,171266,2,1,9999,,quart,976
88320,171267,1,1,9999,,cup,244
88321,171267,2,1,9999,,fl oz,30.5
88322,171267,3,1,9999,,quart,976
88323,171268,1,1,9999,,cup,246
88324,171268,2,1,9999,,quart,984
88325,171269,1,1,9999,,cup,245
88326,171269,2,1,9999,,fl oz,30.6
88327,171269,3,1,9999,,quart,980
88328,171270,1,1,9999,,cup,245
88329,171270,2,1,9999,,fl oz,30.6
88330,171270,3,1,9999,,quart,980
88331,171271,1,1,9999,,cup,246
88332,171271,2,1,9999,,quart,984
88333,171272,1,1,9999,,cup,68
88334,171272,2,1,9999,,envelope (1-1/3 cup),91
88335,171272,3,0.33,9999,,cup (makes 1 cup reconstituted milk),23
88336,171273,1,1,9999,,oz,28.35
88337,171273,2,0.25,9999,,lb,113
88338,171274,1,0.25,9999,,cup,30
88339,171274,2,1,9999,,cup,120
88340,171274,3,1,9999,,tbsp,6.5
88341,171275,1,1,9999,,fl oz,38.2
88342,171275,2,1,9999,,cup,306
88343,171276,1,1,9999,,fl oz,31.5
88344,171276,2,1,9999,,cup,252
88345,171276,3,1,9999,,can (13 oz),369
88346,171276,4,0.5,9999,,cup,126
88347,171277,1,1,9999,,cup,250
88348,171277,2,1,9999,,fl oz,31.2
88349,171278,1,1,9999,,fl oz,30.5
88350,171278,2,1,9999,,cup,244
88351,171278,3,1,9999,,quart,976
88352,171279,1,1,9999,,fl oz,30.8
88353,171279,2,1,9999,,cup,246
88354,171280,1,1,9999,,cup,244
88355,171280,2,1,9999,,quart,976
88356,171281,1,1,9999,,cup,57
88357,171281,2,1,9999,,tbsp,2.9
88358,171282,1,1,9999,,cup,246
88359,171282,2,1,9999,,quart,984
88360,171283,1,1,9999,,cup,145
88361,171283,2,1,9999,,tbsp,7.5
88362,171284,1,1,9999,,container (6 oz),170
88363,171284,2,1,9999,,container (8 oz),227
88364,171284,3,0.5,9999,,container (4 oz),113
88365,171284,4,1,9999,,cup (8 fl oz),245
88366,171285,1,1,9999,,container (6 oz),170
88367,171285,2,1,9999,,cup (8 fl oz),245
88368,171285,3,1,9999,,container (8 oz),227
88369,171285,5,1,9999,,"container, Dannon Sprinkl'ins (4.1 oz)",116
88370,171285,6,0.5,9999,,container (4 oz),113
88371,171286,1,1,9999,,container (6 oz),170
88372,171286,2,0.5,9999,,container (4 oz),113
88373,171286,3,1,9999,,container (8 oz),227
88374,171287,1,1,9999,,large,50
88375,171287,2,1,9999,,extra large,56
88376,171287,3,1,9999,,jumbo,63
88377,171287,5,1,9999,,cup (4.86 large eggs),243
88378,171287,6,1,9999,,medium,44
88379,171287,7,1,9999,,small,38
88380,171288,1,0.25,9999,,cup shredded,28
88381,171289,1,1,9999,,slice (2/3 oz),19
88382,171289,2,1,9999,,slice (3/4 oz),21
88383,171290,1,1,9999,,oz,28.35
88384,171290,2,1,9999,,slice (3/4 oz),21
88385,171290,3,1,9999,,slice (1 oz),28
88386,171290,4,1,9999,,cubic inch,18
88387,171290,5,1,9999,,"cup, diced",140
88388,171290,6,1,9999,,"cup, shredded",113
88389,171290,7,1,9999,,"cup, melted",244
88390,171291,1,1,9999,,cup,113
88391,171291,2,1,9999,,oz,28.35
88392,171291,3,1,9999,,slice (3/4 oz),21
88393,171291,4,1,9999,,package (8 oz),227
88394,171292,1,1,9999,,slice,21
88395,171293,1,1,9999,,medium,298
88396,171294,1,26,9999,,pieces,95
88397,171295,1,1,9999,,serving,28
88398,171296,1,5.3,9999,,oz,150
88399,171297,1,5.3,9999,,oz,150
88400,171298,1,5.3,9999,,oz,150
88401,171299,1,5.3,9999,,oz,150
88402,171300,1,1,9999,,container (5.3 oz),150
88403,171300,2,1,9999,,cup (8 fl oz),245
88404,171300,3,1,9999,,container (6 oz),170
